iter	Passed	Remaining
0	52	5157
1	92	4540
2	133	4323
3	178	4276
4	217	4138
5	257	4037
6	297	3956
7	336	3875
8	377	3816
9	425	3825
10	468	3794
11	508	3725
12	549	3675
13	589	3619
14	629	3565
15	669	3514
16	709	3465
17	749	3414
18	789	3364
19	839	3356
20	878	3304
21	917	3252
22	957	3206
23	997	3158
24	1037	3112
25	1079	3073
26	1120	3030
27	1160	2983
28	1200	2938
29	1248	2913
30	1287	2865
31	1327	2821
32	1373	2787
33	1411	2740
34	1455	2702
35	1495	2658
36	1534	2612
37	1573	2567
38	1613	2523
39	1665	2497
40	1707	2456
41	1747	2412
42	1790	2373
43	1830	2330
44	1869	2285
45	1910	2242
46	1949	2198
47	1989	2155
48	2027	2110
49	2080	2080
50	2097	2014
51	2120	1957
52	2160	1915
53	2202	1876
54	2244	1836
55	2285	1795
56	2325	1754
57	2364	1712
58	2403	1670
59	2454	1636
60	2494	1594
61	2534	1553
62	2574	1511
63	2614	1470
64	2653	1429
65	2693	1387
66	2732	1345
67	2771	1304
68	2810	1262
69	2859	1225
70	2899	1184
71	2938	1142
72	3010	1113
73	3057	1074
74	3112	1037
75	3151	995
76	3191	953
77	3232	911
78	3284	873
79	3309	827
80	3312	777
81	3336	732
82	3377	691
83	3415	650
84	3461	610
85	3500	569
86	3539	528
87	3547	483
88	3587	443
89	3625	402
90	3676	363
91	3714	322
92	3753	282
93	3796	242
94	3836	201
95	3875	161
96	3917	121
97	3957	80
98	3996	40
99	4034	0
